unit_name,type,fishers_exact_pvalue
Japan,Treated,0.023255813953488372
Turkey,Donor,0.046511627906976744
United States,Donor,0.06976744186046512
Czechia,Donor,0.09302325581395349
Israel,Donor,0.11627906976744186
France,Donor,0.13953488372093023
Malaysia,Donor,0.16279069767441862
Lithuania,Donor,0.18604651162790697
Estonia,Donor,0.20930232558139536
Thailand,Donor,0.23255813953488372
South Korea,Donor,0.2558139534883721
Ireland,Donor,0.27906976744186046
Indonesia,Donor,0.3023255813953488
Ukraine,Donor,0.32558139534883723
Paraguay,Donor,0.3488372093023256
Switzerland,Donor,0.37209302325581395
Italy,Donor,0.3953488372093023
Slovakia,Donor,0.4186046511627907
Mexico,Donor,0.4418604651162791
Latvia,Donor,0.46511627906976744
Austria,Donor,0.4883720930232558
Belgium,Donor,0.5116279069767442
Germany,Donor,0.5348837209302325
Hong Kong,Donor,0.5581395348837209
Dominican Republic,Donor,0.5813953488372093
Guatemala,Donor,0.6046511627906976
Norway,Donor,0.627906976744186
Peru,Donor,0.6511627906976745
Trinidad and Tobago,Donor,0.6744186046511628
Greece,Donor,0.6976744186046512
New Zealand,Donor,0.7209302325581395
Chile,Donor,0.7441860465116279
Canada,Donor,0.7674418604651163
Russia,Donor,0.7906976744186046
Brazil,Donor,0.813953488372093
Slovenia,Donor,0.8372093023255814
Malta,Donor,0.8604651162790697
Vietnam,Donor,0.8837209302325582
Uruguay,Donor,0.9069767441860465
Ecuador,Donor,0.9302325581395349
United Kingdom,Donor,0.9534883720930233
Australia,Donor,0.9767441860465116
Argentina,Donor,1
